;Anuncios;INEM;ETTs;Contactos;Oposiciones;Autonomo;Otra
i_0442;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0443;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0444;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0445;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0446;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0447;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0448;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0449;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0450;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0451;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0452;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0453;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0454;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0455;Anuncios_si;INEM_no;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_si
i_0456;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0457;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0458;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0459;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0460;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0461;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0462;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0463;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_si
i_0464;Anuncios_no;INEM_no;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0465;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0466;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0467;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0468;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0470;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0471;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0472;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0473;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0474;Anuncios_si;INEM_no;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0475;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0476;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0477;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0478;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0479;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0480;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0481;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0482;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0483;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0485;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0487;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0488;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0489;Anuncios_no;INEM_no;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0490;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0491;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0492;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0493;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0494;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0495;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0496;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0497;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0498;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0499;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0500;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0501;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0502;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0504;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0506;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0507;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0508;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0509;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0510;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0511;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0512;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0513;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0514;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0517;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0518;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0519;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0520;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0521;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0522;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0524;Anuncios_si;INEM_no;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0525;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0526;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0527;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0528;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_si;Otra_si
i_0529;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_si
i_0530;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0531;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0533;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0534;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0535;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0536;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0537;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0538;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0539;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0540;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0541;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_si;Otra_no
i_0542;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0543;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0544;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0545;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0546;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0599;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0600;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0601;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0602;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0603;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0604;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0605;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0606;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0607;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0608;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0621;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0622;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0623;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0624;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0625;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0627;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0628;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0629;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0630;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0631;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0632;Anuncios_no;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0633;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0634;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0635;Anuncios_si;INEM_no;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0636;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0637;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0638;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0639;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_si;Autonomo_si;Otra_no
i_0641;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0642;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0643;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0644;Anuncios_no;INEM_no;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0647;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_si;Otra_no
i_0648;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0649;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0650;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0651;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0652;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0653;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0654;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0655;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0656;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0657;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0658;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0659;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0660;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0661;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0662;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0663;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0664;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0665;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0667;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0668;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0669;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0670;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0671;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0679;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0680;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0681;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0684;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0685;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0686;Anuncios_no;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0687;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0688;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0699;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0701;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_si;Otra_no
i_0706;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0707;Anuncios_no;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0708;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0709;Anuncios_no;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0710;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_si
i_0712;Anuncios_si;INEM_si;ETTs_si;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0714;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0715;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0716;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0799;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_no;Otra_no
i_0800;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0801;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_si;Autonomo_si;Otra_no
i_0802;Anuncios_si;INEM_no;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0803;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0804;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0805;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0806;Anuncios_no;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0807;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0808;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0840;Anuncios_no;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_si
i_0841;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_si
i_0842;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0845;Anuncios_si;INEM_no;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0887;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0888;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_0889;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_si;Otra_no
i_0890;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
i_0891;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_0892;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_1210;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_1211;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_1212;Anuncios_no;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_1213;Anuncios_si;INEM_no;ETTs_no;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_1214;Anuncios_si;INEM_si;ETTs_no;Contactos_si;Oposiciones_si;Autonomo_no;Otra_no
i_1215;Anuncios_si;INEM_si;ETTs_si;Contactos_si;Oposiciones_no;Autonomo_no;Otra_no
i_1217;Anuncios_si;INEM_si;ETTs_no;Contactos_no;Oposiciones_no;Autonomo_no;Otra_no
